,女性_推定平均必要量,女性_推奨量,女性_月経あり_推定平均必要量,女性_月経あり_推奨量,女性_月経なし_推定平均必要量,女性_月経なし_推奨量,女性_目安量,女性_目標量-下限,女性_目標量-上限,女性_耐容上限量,女性_耐容上限量-ニコチンアミド,女性_耐容上限量-ニコチン酸,女性_身体活動レベルⅠ,女性_身体活動レベルⅡ,女性_身体活動レベルⅢ,男性_推定平均必要量,男性_推奨量,男性_目安量,男性_目標量-下限,男性_目標量-上限,男性_耐容上限量,男性_耐容上限量-ニコチンアミド,男性_耐容上限量-ニコチン酸,男性_身体活動レベルⅠ,男性_身体活動レベルⅡ,男性_身体活動レベルⅢ
エネルギー_推定エネルギー必要量_kcal,,,,,,,,,,,,,1550.0,1850.0,2100.0,,,,,,,,,2050.0,2400.0,2750.0
たんぱく質_たんぱく質_g／日（目標量は%エネルギー）,40.0,50.0,,,,,,15.0,20.0,,,,,,,50.0,60.0,,15.0,20.0,,,,,,
脂質_脂質_％エネルギー,,,,,,,,20.0,30.0,,,,,,,,,,20.0,30.0,,,,,,
脂質_飽和脂肪酸_％エネルギー,,,,,,,,,7.0,,,,,,,,,,,7.0,,,,,,
脂質_n─6系脂肪酸_g／日,,,,,,,8.0,,,,,,,,,,,9.0,,,,,,,,
脂質_n─3系脂肪酸_g／日,,,,,,,2.0,,,,,,,,,,,2.2,,,,,,,,
炭水化物_炭水化物_％エネルギー,,,,,,,,50.0,65.0,,,,,,,,,,50.0,65.0,,,,,,
炭水化物_食物繊維_g／日,,,,,,,,17.0,,,,,,,,,,,20.0,,,,,,,
ビタミン（脂溶性ビタミン）_ビタミンA_μgRAE／日,500.0,700.0,,,,,,,,2700.0,,,,,,600.0,850.0,,,,2700.0,,,,,
ビタミン（脂溶性ビタミン）_ビタミンD_μg／日,,,,,,,8.5,,,100.0,,,,,,,,8.5,,,100.0,,,,,
ビタミン（脂溶性ビタミン）_ビタミンE_mg／日,,,,,,,6.5,,,650.0,,,,,,,,7.0,,,850.0,,,,,
ビタミン（脂溶性ビタミン）_ビタミンK_μg／日,,,,,,,150.0,,,,,,,,,,,150.0,,,,,,,,
ビタミン（水溶性ビタミン）_ビタミンB1_mg／日,0.9,1.1,,,,,,,,,,,,,,1.1,1.3,,,,,,,,,
ビタミン（水溶性ビタミン）_ビタミンB2_mg／日,1.0,1.2,,,,,,,,,,,,,,1.2,1.5,,,,,,,,,
ビタミン（水溶性ビタミン）_ナイアシン_mgNE／日,9.0,11.0,,,,,,,,,250.0,65.0,,,,12.0,14.0,,,,,300.0,80.0,,,
ビタミン（水溶性ビタミン）_ビタミンB6_mg／日,1.0,1.1,,,,,,,,40.0,,,,,,1.1,1.4,,,,50.0,,,,,
ビタミン（水溶性ビタミン）_ビタミンB12_μg／日,2.0,2.4,,,,,,,,,,,,,,2.0,2.4,,,,,,,,,
ビタミン（水溶性ビタミン）_葉酸_μg／日,200.0,240.0,,,,,,,,900.0,,,,,,200.0,240.0,,,,900.0,,,,,
ビタミン（水溶性ビタミン）_パントテン酸_mg／日,,,,,,,5.0,,,,,,,,,,,6.0,,,,,,,,
ビタミン（水溶性ビタミン）_ビオチン_μg／日,,,,,,,50.0,,,,,,,,,,,50.0,,,,,,,,
ビタミン（水溶性ビタミン）_ビタミンC_mg／日,80.0,100.0,,,,,,,,,,,,,,80.0,100.0,,,,,,,,,
ミネラル（多量ミネラル）_ナトリウム_μg／日,600.0,,,,,,,,2600.0,,,,,,,600.0,,,,3000.0,,,,,,
ミネラル（多量ミネラル）_食塩相当量_g／日,1.5,,,,,,,,6.5,,,,,,,1.5,,,,7.5,,,,,,
ミネラル（多量ミネラル）_カリウム_mg／日,,,,,,,2000.0,2600.0,,,,,,,,,,2500.0,3000.0,,,,,,,
ミネラル（多量ミネラル）_カルシウム_mg／日,550.0,650.0,,,,,,,,2500.0,,,,,,600.0,750.0,,,,2500.0,,,,,
ミネラル（多量ミネラル）_マグネシウム_mg／日,230.0,280.0,,,,,,,,,,,,,,290.0,350.0,,,,,,,,,
ミネラル（多量ミネラル）_リン_mg／日,,,,,,,800.0,,,3000.0,,,,,,,,1000.0,,,3000.0,,,,,
ミネラル（微量ミネラル）_鉄_mg／日,,,,,5.0,6.0,,,,40.0,,,,,,6.0,7.5,,,,50.0,,,,,
ミネラル（微量ミネラル）_亜鉛_mg／日,7.0,8.0,,,,,,,,35.0,,,,,,9.0,11.0,,,,40.0,,,,,
ミネラル（微量ミネラル）_銅_mg／日,0.6,0.7,,,,,,,,7.0,,,,,,0.7,0.9,,,,7.0,,,,,
ミネラル（微量ミネラル）_マンガン_mg／日,,,,,,,3.5,,,11.0,,,,,,,,4.0,,,11.0,,,,,
ミネラル（微量ミネラル）_ヨウ素_μg／日,95.0,130.0,,,,,,,,3000.0,,,,,,95.0,130.0,,,,3000.0,,,,,
ミネラル（微量ミネラル）_セレン_μg／日,20.0,25.0,,,,,,,,350.0,,,,,,25.0,30.0,,,,450.0,,,,,
ミネラル（微量ミネラル）_クロム_μg／日,,,,,,,10.0,,,500.0,,,,,,,,10.0,,,500.0,,,,,
ミネラル（微量ミネラル）_モリブデン_μg／日,20.0,25.0,,,,,,,,500.0,,,,,,20.0,30.0,,,,600.0,,,,,
